data-rescaled\youtube-real-720p\00000_720p.mp4,36.67129898,,Average Time:,39.34255013
data-rescaled\youtube-real-720p\00001_720p.mp4,33.43335962,,,
data-rescaled\youtube-real-720p\00002_720p.mp4,44.7717123,,,
data-rescaled\youtube-real-720p\00003_720p.mp4,25.81705332,,,
data-rescaled\youtube-real-720p\00004_720p.mp4,40.83125067,,,
data-rescaled\youtube-real-720p\00005_720p.mp4,45.00794482,,,
data-rescaled\youtube-real-720p\00006_720p.mp4,46.00998759,,,
data-rescaled\youtube-real-720p\00007_720p.mp4,43.978091,,,
data-rescaled\youtube-real-720p\00008_720p.mp4,43.8540194,,,
data-rescaled\youtube-real-720p\00009_720p.mp4,53.53436375,,,
data-rescaled\youtube-real-720p\00010_720p.mp4,37.16870594,,,
data-rescaled\youtube-real-720p\00011_720p.mp4,42.08538604,,,
data-rescaled\youtube-real-720p\00012_720p.mp4,36.23009729,,,
data-rescaled\youtube-real-720p\00013_720p.mp4,45.57314897,,,
data-rescaled\youtube-real-720p\00014_720p.mp4,42.84979725,,,
data-rescaled\youtube-real-720p\00015_720p.mp4,40.49226499,,,
data-rescaled\youtube-real-720p\00016_720p.mp4,29.7352972,,,
data-rescaled\youtube-real-720p\00017_720p.mp4,25.51176238,,,
data-rescaled\youtube-real-720p\00018_720p.mp4,39.41443729,,,
data-rescaled\youtube-real-720p\00019_720p.mp4,42.75883198,,,
data-rescaled\youtube-real-720p\00020_720p.mp4,43.22689652,,,
data-rescaled\youtube-real-720p\00021_720p.mp4,42.35086584,,,
data-rescaled\youtube-real-720p\00022_720p.mp4,43.71833348,,,
data-rescaled\youtube-real-720p\00023_720p.mp4,42.54334402,,,
data-rescaled\youtube-real-720p\00024_720p.mp4,49.23369384,,,
data-rescaled\youtube-real-720p\00025_720p.mp4,43.12188888,,,
data-rescaled\youtube-real-720p\00026_720p.mp4,44.15776801,,,
data-rescaled\youtube-real-720p\00027_720p.mp4,44.65458179,,,
data-rescaled\youtube-real-720p\00028_720p.mp4,43.5476141,,,
data-rescaled\youtube-real-720p\00029_720p.mp4,41.79594827,,,
data-rescaled\youtube-real-720p\00030_720p.mp4,43.56619811,,,
data-rescaled\youtube-real-720p\00031_720p.mp4,46.88817382,,,
data-rescaled\youtube-real-720p\00032_720p.mp4,42.23348379,,,
data-rescaled\youtube-real-720p\00033_720p.mp4,41.86417651,,,
data-rescaled\youtube-real-720p\00034_720p.mp4,45.76218677,,,
data-rescaled\youtube-real-720p\00035_720p.mp4,41.6200881,,,
data-rescaled\youtube-real-720p\00036_720p.mp4,49.84578419,,,
data-rescaled\youtube-real-720p\00037_720p.mp4,41.20993972,,,
data-rescaled\youtube-real-720p\00038_720p.mp4,42.52403188,,,
data-rescaled\youtube-real-720p\00039_720p.mp4,41.55309582,,,
data-rescaled\youtube-real-720p\00040_720p.mp4,34.95685649,,,
data-rescaled\youtube-real-720p\00041_720p.mp4,41.82757735,,,
data-rescaled\youtube-real-720p\00042_720p.mp4,34.75565124,,,
data-rescaled\youtube-real-720p\00043_720p.mp4,43.01231456,,,
data-rescaled\youtube-real-720p\00044_720p.mp4,41.90510941,,,
data-rescaled\youtube-real-720p\00045_720p.mp4,42.08931398,,,
data-rescaled\youtube-real-720p\00046_720p.mp4,43.36985278,,,
data-rescaled\youtube-real-720p\00047_720p.mp4,44.25209308,,,
data-rescaled\youtube-real-720p\00048_720p.mp4,44.03437257,,,
data-rescaled\youtube-real-720p\00049_720p.mp4,43.77219629,,,
data-rescaled\youtube-real-720p\00050_720p.mp4,42.61869359,,,
data-rescaled\youtube-real-720p\00051_720p.mp4,33.80093312,,,
data-rescaled\youtube-real-720p\00052_720p.mp4,43.01000857,,,
data-rescaled\youtube-real-720p\00053_720p.mp4,42.98332834,,,
data-rescaled\youtube-real-720p\00054_720p.mp4,38.42496371,,,
data-rescaled\youtube-real-720p\00055_720p.mp4,43.18936181,,,
data-rescaled\youtube-real-720p\00056_720p.mp4,49.17893958,,,
data-rescaled\youtube-real-720p\00057_720p.mp4,42.66561747,,,
data-rescaled\youtube-real-720p\00058_720p.mp4,46.88680053,,,
data-rescaled\youtube-real-720p\00059_720p.mp4,43.64367223,,,
data-rescaled\youtube-real-720p\00060_720p.mp4,43.89264393,,,
data-rescaled\youtube-real-720p\00061_720p.mp4,37.95738745,,,
data-rescaled\youtube-real-720p\00062_720p.mp4,44.34029365,,,
data-rescaled\youtube-real-720p\00063_720p.mp4,44.13963223,,,
data-rescaled\youtube-real-720p\00064_720p.mp4,39.82604599,,,
data-rescaled\youtube-real-720p\00065_720p.mp4,45.52598667,,,
data-rescaled\youtube-real-720p\00066_720p.mp4,42.52268529,,,
data-rescaled\youtube-real-720p\00067_720p.mp4,43.44362354,,,
data-rescaled\youtube-real-720p\00068_720p.mp4,43.63429976,,,
data-rescaled\youtube-real-720p\00069_720p.mp4,39.96536922,,,
data-rescaled\youtube-real-720p\00070_720p.mp4,33.09354019,,,
data-rescaled\youtube-real-720p\00071_720p.mp4,47.10665417,,,
